sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,customer_id,payment,order_date,delivery_date,product_ID,product_type,product_name,size,colour,price,quantity_y,description,customer_name,gender,age,home_address,zip_code,city,state,country,status,age_group,month
0,1,218,106,2,212,64,30811,2021-08-30,2021-09-24,218,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,Seniors,2021-08
1,1,481,118,1,118,64,30811,2021-08-30,2021-09-24,481,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,Seniors,2021-08
2,1,2,96,3,288,64,30811,2021-08-30,2021-09-24,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,Seniors,2021-08
3,1,1002,106,2,212,64,30811,2021-08-30,2021-09-24,1002,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,Seniors,2021-08
4,1,691,113,3,339,64,30811,2021-08-30,2021-09-24,691,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,Seniors,2021-08
5,1,981,106,3,318,64,30811,2021-08-30,2021-09-24,981,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,Active,Seniors,2021-08
6,2,915,96,1,96,473,50490,2021-02-03,2021-02-13,915,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers",Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,Seniors,2021-02
7,2,686,113,1,113,473,50490,2021-02-03,2021-02-13,686,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket",Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,Seniors,2021-02
8,2,1091,115,3,345,473,50490,2021-02-03,2021-02-13,1091,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers",Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,Seniors,2021-02
9,2,1196,105,1,105,473,50490,2021-02-03,2021-02-13,1196,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers",Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,Active,Seniors,2021-02
